millis,stamp,datetime,humidity,temp
38999998,1668996298,"2022/11/21 2:4:58",28.10,21.60
39299999,1668996598,"2022/11/21 2:9:58",28.00,21.60
39599998,1668996897,"2022/11/21 2:14:57",28.00,21.60
39899999,1668997197,"2022/11/21 2:19:57",27.90,21.40
40199999,1668997497,"2022/11/21 2:24:57",27.90,21.40
40500000,1668997797,"2022/11/21 2:29:57",27.90,21.40
40800000,1668998097,"2022/11/21 2:34:57",27.90,21.30
41100000,1668998396,"2022/11/21 2:39:56",27.90,21.30
41400000,1668998696,"2022/11/21 2:44:56",27.80,21.20
41699999,1668998996,"2022/11/21 2:49:56",27.80,21.20
42000000,1668999296,"2022/11/21 2:54:56",27.80,21.10
42300000,1668999596,"2022/11/21 2:59:56",27.80,21.10
42599999,1668999895,"2022/11/21 3:4:55",27.90,21.00
42899999,1669000195,"2022/11/21 3:9:55",27.80,21.00
43199998,1669000495,"2022/11/21 3:14:55",27.80,21.00
43500000,1669000795,"2022/11/21 3:19:55",27.80,21.00
43800000,1669001095,"2022/11/21 3:24:55",27.80,20.90
44099999,1669001394,"2022/11/21 3:29:54",27.90,20.90
44400000,1669001694,"2022/11/21 3:34:54",27.90,20.90
44700000,1669001994,"2022/11/21 3:39:54",27.90,20.80
45000000,1669002294,"2022/11/21 3:44:54",27.90,20.80
45299998,1669002594,"2022/11/21 3:49:54",27.90,20.80
45600000,1669002893,"2022/11/21 3:54:53",27.90,20.70
45899999,1669003193,"2022/11/21 3:59:53",27.90,20.70
46199999,1669003493,"2022/11/21 4:4:53",27.90,20.80
46499999,1669003793,"2022/11/21 4:9:53",27.90,20.70
46800000,1669004093,"2022/11/21 4:14:53",28.00,20.60
47100000,1669004392,"2022/11/21 4:19:52",28.00,20.50
47400000,1669004692,"2022/11/21 4:24:52",28.00,20.50
47699998,1669004992,"2022/11/21 4:29:52",28.10,20.50
47999998,1669005292,"2022/11/21 4:34:52",28.10,20.50
48299999,1669005592,"2022/11/21 4:39:52",28.10,20.40
48600000,1669005892,"2022/11/21 4:44:52",28.10,20.40
48899999,1669006191,"2022/11/21 4:49:51",28.20,20.40
49199998,1669006491,"2022/11/21 4:54:51",28.20,20.40
49499999,1669006791,"2022/11/21 4:59:51",28.20,20.30
49799999,1669007091,"2022/11/21 5:4:51",28.20,20.30
50099998,1669007391,"2022/11/21 5:9:51",28.20,20.30
50399998,1669007690,"2022/11/21 5:14:50",28.20,20.20
50700000,1669007990,"2022/11/21 5:19:50",28.20,20.20
50999999,1669008290,"2022/11/21 5:24:50",28.30,20.10
51299999,1669008590,"2022/11/21 5:29:50",28.30,20.20
51599998,1669008890,"2022/11/21 5:34:50",28.20,20.20
51899999,1669009189,"2022/11/21 5:39:49",28.30,20.10
52199999,1669009489,"2022/11/21 5:44:49",28.30,20.10
52499998,1669009789,"2022/11/21 5:49:49",28.30,20.00
52799998,1669010089,"2022/11/21 5:54:49",28.30,20.00
53099999,1669010389,"2022/11/21 5:59:49",28.30,20.00
53399999,1669010688,"2022/11/21 6:4:48",28.30,20.00
53699998,1669010988,"2022/11/21 6:9:48",28.30,20.00
53999998,1669011288,"2022/11/21 6:14:48",28.40,20.00
54299999,1669011588,"2022/11/21 6:19:48",28.40,19.90
54599999,1669011888,"2022/11/21 6:24:48",28.40,20.00
54899999,1669012187,"2022/11/21 6:29:47",28.50,19.90
55200000,1669012487,"2022/11/21 6:34:47",28.50,19.90
55500000,1669012787,"2022/11/21 6:39:47",28.40,19.80
55799999,1669013087,"2022/11/21 6:44:47",28.50,19.80
56099999,1669013387,"2022/11/21 6:49:47",28.50,19.80
56400000,1669013686,"2022/11/21 6:54:46",28.50,19.80
56700000,1669013986,"2022/11/21 6:59:46",28.50,19.80
56999998,1669014286,"2022/11/21 7:4:46",28.50,19.80
57299999,1669014586,"2022/11/21 7:9:46",28.50,19.70
57599998,1669014886,"2022/11/21 7:14:46",28.60,19.70
57899999,1669015185,"2022/11/21 7:19:45",28.50,19.60
58200000,1669015485,"2022/11/21 7:24:45",28.50,19.80
58499999,1669015785,"2022/11/21 7:29:45",28.30,20.10
58800000,1669016085,"2022/11/21 7:34:45",28.20,20.50
59100000,1669016385,"2022/11/21 7:39:45",28.00,20.90
59400000,1669016684,"2022/11/21 7:44:44",27.70,21.20
59699998,1669016984,"2022/11/21 7:49:44",27.60,21.50
60000000,1669017284,"2022/11/21 7:54:44",27.50,21.70
60299999,1669017584,"2022/11/21 7:59:44",27.50,21.90
60599999,1669017884,"2022/11/21 8:4:44",27.40,21.80
60899999,1669018183,"2022/11/21 8:9:43",27.90,21.90
61200000,1669018483,"2022/11/21 8:14:43",28.30,21.80
61500000,1669018783,"2022/11/21 8:19:43",28.70,21.90
61800000,1669019083,"2022/11/21 8:24:43",28.60,21.90
62099999,1669019383,"2022/11/21 8:29:43",28.80,22.10
62400000,1669019683,"2022/11/21 8:34:43",28.30,22.10
62700000,1669019982,"2022/11/21 8:39:42",28.50,22.10
62999999,1669020282,"2022/11/21 8:44:42",28.60,21.90
63299999,1669020582,"2022/11/21 8:49:42",28.40,22.10
63600000,1669020882,"2022/11/21 8:54:42",28.00,22.10
63899999,1669021182,"2022/11/21 8:59:42",28.30,22.00
64199999,1669021481,"2022/11/21 9:4:41",28.20,22.00
64499998,1669021781,"2022/11/21 9:9:41",28.10,22.10
64799998,1669022081,"2022/11/21 9:14:41",28.00,22.10
65099999,1669022381,"2022/11/21 9:19:41",28.00,22.00
65399999,1669022681,"2022/11/21 9:24:41",28.10,22.00
65699998,1669022980,"2022/11/21 9:29:40",28.00,22.10
65999998,1669023280,"2022/11/21 9:34:40",27.90,22.20
66299999,1669023580,"2022/11/21 9:39:40",27.80,22.20
66600000,1669023880,"2022/11/21 9:44:40",28.00,22.10
66899999,1669024180,"2022/11/21 9:49:40",28.00,22.10
67200000,1669024479,"2022/11/21 9:54:39",28.10,22.00
67500000,1669024779,"2022/11/21 9:59:39",28.00,22.10
67800000,1669025079,"2022/11/21 10:4:39",27.90,22.20
68099999,1669025379,"2022/11/21 10:9:39",27.80,22.30
68400000,1669025679,"2022/11/21 10:14:39",27.90,22.20
68700000,1669025978,"2022/11/21 10:19:38",28.00,22.10
68999999,1669026278,"2022/11/21 10:24:38",28.10,22.10
69299999,1669026578,"2022/11/21 10:29:38",27.80,22.10
69600000,1669026878,"2022/11/21 10:34:38",27.80,22.20
69900000,1669027178,"2022/11/21 10:39:38",27.70,22.30
70200000,1669027478,"2022/11/21 10:44:38",28.10,22.20
70499998,1669027777,"2022/11/21 10:49:37",28.10,22.20
70800000,1669028077,"2022/11/21 10:54:37",28.30,22.10
71100000,1669028377,"2022/11/21 10:59:37",28.80,22.00
71399999,1669028677,"2022/11/21 11:4:37",29.00,22.20
71700000,1669028977,"2022/11/21 11:9:37",28.80,22.30
71999998,1669029276,"2022/11/21 11:14:36",28.00,22.40
72300000,1669029576,"2022/11/21 11:19:36",28.20,22.40
72600000,1669029876,"2022/11/21 11:24:36",28.20,22.40
72899999,1669030176,"2022/11/21 11:29:36",28.40,22.30
73199998,1669030476,"2022/11/21 11:34:36",28.50,22.20
73499999,1669030775,"2022/11/21 11:39:35",28.20,22.20
73799999,1669031075,"2022/11/21 11:44:35",28.10,22.20
74099998,1669031375,"2022/11/21 11:49:35",28.00,22.30
74399998,1669031675,"2022/11/21 11:54:35",28.30,22.20
74699999,1669031975,"2022/11/21 11:59:35",28.00,22.20
75000000,1669032274,"2022/11/21 12:4:34",28.00,22.20
75299999,1669032574,"2022/11/21 12:9:34",28.10,22.20
75600000,1669032874,"2022/11/21 12:14:34",28.20,22.10
75900000,1669033174,"2022/11/21 12:19:34",28.00,22.20
76200000,1669033474,"2022/11/21 12:24:34",28.00,22.20
76500000,1669033773,"2022/11/21 12:29:33",27.90,22.40
76799998,1669034073,"2022/11/21 12:34:33",27.60,22.40
77099999,1669034373,"2022/11/21 12:39:33",27.80,22.40
77399999,1669034673,"2022/11/21 12:44:33",28.00,22.20
77699998,1669034973,"2022/11/21 12:49:33",28.30,22.30
77999998,1669035273,"2022/11/21 12:54:33",28.00,22.20
78299999,1669035572,"2022/11/21 12:59:32",28.10,22.20
78599999,1669035872,"2022/11/21 13:4:32",28.10,22.30
78899999,1669036172,"2022/11/21 13:9:32",28.20,22.20
79200000,1669036472,"2022/11/21 13:14:32",28.40,22.20
79499999,1669036772,"2022/11/21 13:19:32",28.40,22.30
79799999,1669037071,"2022/11/21 13:24:31",28.20,22.30
80099999,1669037371,"2022/11/21 13:29:31",28.30,22.30
80399998,1669037671,"2022/11/21 13:34:31",28.40,22.30
80699999,1669037971,"2022/11/21 13:39:31",28.10,22.30
80999998,1669038271,"2022/11/21 13:44:31",28.10,22.30
81299999,1669038570,"2022/11/21 13:49:30",28.20,22.20
81600000,1669038870,"2022/11/21 13:54:30",28.10,22.20
81899999,1669039170,"2022/11/21 13:59:30",28.00,22.30
